Time,Q1,Q2,T1,T2,TSP1,TSP2
1.066994569301605225e+02,8.789527448350355598e+01,0.000000000000000000e+00,4.967699999999999960e+01,2.982499999999999929e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.077024750709533691e+02,7.556874832652573559e+01,0.000000000000000000e+00,4.996699999999999875e+01,2.982499999999999929e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.086908168792724609e+02,8.221315022576905562e+01,0.000000000000000000e+00,5.015999999999999659e+01,2.982499999999999929e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.096938583850860596e+02,7.249420378893844941e+01,0.000000000000000000e+00,5.045000000000000284e+01,2.985699999999999932e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.106820900440216064e+02,7.892367808906718096e+01,0.000000000000000000e+00,5.064399999999999835e+01,2.998600000000000065e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.116850922107696533e+02,6.343107007258774388e+01,0.000000000000000000e+00,5.099799999999999756e+01,2.998600000000000065e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.126734809875488281e+02,8.702742313231956928e+01,0.000000000000000000e+00,5.106300000000000239e+01,3.008299999999999841e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.136764888763427734e+02,5.490419132528819546e+01,0.000000000000000000e+00,5.148100000000000165e+01,3.011499999999999844e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.146648862361907959e+02,7.478199994295918884e+01,0.000000000000000000e+00,5.164300000000000068e+01,3.014699999999999847e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.156678290367126465e+02,7.124993067914124367e+01,0.000000000000000000e+00,5.183599999999999852e+01,3.014699999999999847e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.166560850143432617e+02,6.078850487288965354e+01,0.000000000000000000e+00,5.212599999999999767e+01,3.021199999999999974e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.176591501235961914e+02,6.482123200126656570e+01,0.000000000000000000e+00,5.235199999999999676e+01,3.027599999999999980e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.186471340656280518e+02,6.893697095511411987e+01,0.000000000000000000e+00,5.251299999999999812e+01,3.037300000000000111e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.196505653858184814e+02,6.527158554680534053e+01,0.000000000000000000e+00,5.270600000000000307e+01,3.037300000000000111e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.206381344795227051e+02,6.049939360703881164e+01,0.000000000000000000e+00,5.293200000000000216e+01,3.066300000000000026e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.216419014930725098e+02,5.657903277559360333e+01,0.000000000000000000e+00,5.318900000000000006e+01,3.037300000000000111e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.226291103363037109e+02,7.199897425883278856e+01,0.000000000000000000e+00,5.325399999999999778e+01,3.053399999999999892e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.236331341266632080e+02,7.501000592479299200e+01,0.000000000000000000e+00,5.328600000000000136e+01,3.050199999999999889e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.246200752258300781e+02,5.122903418895918293e+01,0.000000000000000000e+00,5.357600000000000051e+01,3.053399999999999892e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.256245489120483398e+02,6.991596917531990130e+01,0.000000000000000000e+00,5.364099999999999824e+01,3.056599999999999895e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.266111166477203369e+02,4.583461803999234974e+01,0.000000000000000000e+00,5.396300000000000097e+01,3.059900000000000020e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.276159164905548096e+02,8.200294973350806060e+01,0.000000000000000000e+00,5.386599999999999966e+01,3.053399999999999892e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.286021580696105957e+02,4.140750078607570828e+01,0.000000000000000000e+00,5.422099999999999653e+01,3.082400000000000162e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.296070873737335205e+02,7.454648527750499909e+01,0.000000000000000000e+00,5.418800000000000239e+01,3.066300000000000026e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.305935389995574951e+02,3.031022149037127633e+01,0.000000000000000000e+00,5.464000000000000057e+01,3.076000000000000156e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.315981419086456299e+02,8.308431435863572290e+01,0.000000000000000000e+00,5.447899999999999920e+01,3.072800000000000153e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.325849494934082031e+02,3.441333681717657811e+01,0.000000000000000000e+00,5.486500000000000199e+01,3.092099999999999937e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.335895690917968750e+02,6.993881019453093018e+01,0.000000000000000000e+00,5.483299999999999841e+01,3.082400000000000162e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.345760805606842041e+02,4.361162779769877318e+01,0.000000000000000000e+00,5.509100000000000108e+01,3.108200000000000074e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.355806865692138672e+02,3.627023711423309749e+01,0.000000000000000000e+00,5.541299999999999670e+01,3.085600000000000165e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.365674910545349121e+02,7.181797428148900053e+01,0.000000000000000000e+00,5.531600000000000250e+01,3.105000000000000071e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.375720777511596680e+02,4.055499540891565857e+01,0.000000000000000000e+00,5.557399999999999807e+01,3.105000000000000071e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.385588774681091309e+02,6.190864321544839299e+01,0.000000000000000000e+00,5.557399999999999807e+01,3.117899999999999849e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.395635821819305420e+02,5.624416221223457057e+01,0.000000000000000000e+00,5.563900000000000290e+01,3.127499999999999858e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.405502295494079590e+02,4.376065145692163583e+01,0.000000000000000000e+00,5.583200000000000074e+01,3.162999999999999901e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.415549452304840088e+02,6.324014099946855083e+01,0.000000000000000000e+00,5.579999999999999716e+01,3.137199999999999989e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.425415461063385010e+02,4.591919026981289420e+01,0.000000000000000000e+00,5.596099999999999852e+01,3.150100000000000122e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.435460517406463623e+02,4.508244510219970635e+01,0.000000000000000000e+00,5.612199999999999989e+01,3.130799999999999983e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.445328893661499023e+02,4.942843380693067701e+01,0.000000000000000000e+00,5.621900000000000119e+01,3.150100000000000122e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.455374510288238525e+02,5.776781913560898118e+01,0.000000000000000000e+00,5.621900000000000119e+01,3.153300000000000125e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.465240881443023682e+02,3.398418529537213573e+01,0.000000000000000000e+00,5.647699999999999676e+01,3.175900000000000034e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.475288541316986084e+02,6.173615814921609513e+01,0.000000000000000000e+00,5.641199999999999903e+01,3.166199999999999903e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.485151326656341553e+02,3.861460110886793728e+01,0.000000000000000000e+00,5.660499999999999687e+01,3.192000000000000171e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.495200927257537842e+02,6.091653742186912979e+01,0.000000000000000000e+00,5.654099999999999682e+01,3.172700000000000031e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.505065538883209229e+02,2.890371883806683684e+01,0.000000000000000000e+00,5.683100000000000307e+01,3.195200000000000173e+01,6.000000000000000000e+01,2.834299999999999997e+01
1.515115220546722412e+02,6.506933342617746518e+01,1.000000000000000000e+02,5.670199999999999818e+01,3.195200000000000173e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.524978623390197754e+02,2.441652167895049175e+01,1.000000000000000000e+02,5.702400000000000091e+01,3.269299999999999784e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.535028390884399414e+02,7.234951302700713427e+01,1.000000000000000000e+02,5.679899999999999949e+01,3.214600000000000080e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.544891157150268555e+02,2.402390151937901308e+01,1.000000000000000000e+02,5.712100000000000222e+01,3.259700000000000131e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.554940834045410156e+02,5.674703670709427428e+01,1.000000000000000000e+02,5.705700000000000216e+01,3.285399999999999920e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.564801321029663086e+02,4.288480543206003404e+01,1.000000000000000000e+02,5.715299999999999869e+01,3.275800000000000267e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.574854521751403809e+02,4.541193427860932275e+01,1.000000000000000000e+02,5.721800000000000352e+01,3.240299999999999869e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.584711067676544189e+02,5.071594083495416783e+01,1.000000000000000000e+02,5.721800000000000352e+01,3.272599999999999909e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.594767470359802246e+02,4.185688859955638463e+01,1.000000000000000000e+02,5.731400000000000006e+01,3.320900000000000318e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.604620816707611084e+02,5.895569226943432284e+01,1.000000000000000000e+02,5.721800000000000352e+01,3.298299999999999699e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.614682152271270752e+02,4.823428740553391947e+01,1.000000000000000000e+02,5.725000000000000000e+01,3.298299999999999699e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.624535672664642334e+02,5.405846115586721368e+01,1.000000000000000000e+02,5.721800000000000352e+01,3.291899999999999693e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.634592001438140869e+02,4.235839787770182596e+01,1.000000000000000000e+02,5.731400000000000006e+01,3.365999999999999659e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.644448781013488770e+02,5.027402545754965502e+01,1.000000000000000000e+02,5.731400000000000006e+01,3.385399999999999920e+01,6.000000000000000000e+01,5.000000000000000000e+01
1.654505217075347900e+02,4.457223848863002758e+01,1.000000000000000000e+02,5.737899999999999778e+01,3.382099999999999795e+01,6.000000000000000000e+01,5.000000000000000000e+01
